id,tag
0,serie-a
1,desaparecimento
2,encontro
3,espirito-santo
4,jovem-autista
5,leo-santana
6,salvador
7,brasil
8,educacao
9,enem
10,ensino-superior
11,prova
12,crime-sexual
13,lider-espiritual
14,pituba
15,prisao
16,religioso
17,esporte-clube-bahia
18,futebol
19,jogo
20,juventude
21,aguas-claras
22,feto-encontrado
23,lixo
24,areia
25,candeias
26,carlinhos-ibiapina
27,homicidio
28,seguranca-morto
29,ataque
30,corinthians
31,esporte-clube-vitoria
32,torcida-organizada
33,tui
34,calcada
35,encontrado-morto
36,morte
37,acusacoes
38,denuncia
39,medida-protetiva
40,rafael-cardoso
41,sonia-bridi
42,aeroporto-de-sao-paulo
43,empresario-morto
44,execucao
45,pcc
46,seguranca
47,assedio-sexual
48,delegado
49,indiciado
50,policia-civil
51,loteria
52,mega-sena
53,sorteio
54,conceicao-do-almeida
55,confronto
56,policia-militar
57,traficantes
58,vera-cruz
59,alto-da-cruz
60,avenida-radial-b
61,camacari
62,carro-explode
63,posto-de-combustiveis
64,barradao
65,brasileirao-serie-a
66,ec-vitoria
67,bahia
68,cipo
69,professora-tema-do-enem
70,bahia-no-ar
71,del-do-cristo-rei
72,simoes-filho
73,alberto-castro
74,exoneracao
75,paulo-carneiro
76,secretario-de-obras-de-dias-davila
77,ataque-a-tiros-em-pizzaria
78,itabela
79,sul-da-bahia
80,crimes-violentos-letais-intencionais-cvlis
81,reducao-de-homicidios
82,lauro-de-freitas
83,roubo-a-cofre
84,lei-organica
85,pl-refis
86,refis
87,ivoneide-caetano
88,manoel-jacare
89,programa-linha-quente
90,roque-santos
91,desabamento
92,explosao-de-gas
93,maceio
94,bairro-da-piacaveira
95,feira-colaborativa
96,feira-da-noite
97,acidente-de-trabalho
98,adolescente
99,interior-da-bahia
100,ministerio-publico-do-trabalho-da-bahia
101,muso-de-obra-desaba
102,ribeira-do-pombal
103,diocese-de-camacari
104,peregrinacao
105,santa-missa
106,santuario-de-nossa-senhora-das-candeias
107,transporte-gratuito
108,voluntarios
109,baianao-feminino
110,bavi-em-simoes-filho
111,campeonato-baiano-feminino
112,jogo-da-volta
113,sinebahia
114,vagas-de-emprego-em-camacari
115,burissatuba
116,cigana-morta-em-camacari
117,dom-avelar
118,duplo-homicidio
119,roubo-de-moto
120,trafico-de-drogas
121,brasileirao
122,derrota
123,sequestro-na-cidade-nova
124,troca-de-tiros
125,itapua
126,paque-do-abaete
127,operacao-contra-homicidios
128,santo-amaro
129,santo-antonio-de-jesus
130,bahia-e-vitoria
131,bavi-feminino
132,simoes-filho-i
133,cuiaba
134,lider-de-faccao-na-rms
135,regiao-metropolitana-de-salvador
136,rms
137,acidente
138,ba-026
139,feridos
140,planaltino
141,ano-letivo
142,seduc
