id,tag
0,salvador
1,brasil
2,burburinho-news
3,petrobras
4,operacao
5,roubo
6,bahia
7,prf
8,cbf
9,morro-do-chapeu
10,unicef
11,inscricoes
12,arenoso
13,bolsonaro
14,trump
15,onibus-2
16,policial
17,brasileirao
18,pf
19,haddad
20,lula
21,anfavea
22,veiculos
23,faccao
24,policia
25,eua
26,justica
27,prisao
28,procurado
29,aviao
30,brasilia
31,turismo
32,governo-federal
33,onu
34,disputa
35,ceni
36,fonte-nova
37,flavio-dino
38,soja
39,turistas
40,enem
41,exame
42,faccoes
43,ssp
44,zoologico
45,serasa
46,governo
47,abstencao
48,limpurb
49,prefeitura
50,transporte
51,tce
52,municipios-2
53,saude
54,simm
55,vagas
56,ibge
57,industria
58,pix
59,regras
60,influenciadores
61,gas
62,pm
63,presos
64,economia
65,formula-1
66,fgts
67,orcamento
68,finados
69,metro
70,reveillon-2
71,shows
72,exames
73,nordeste
74,g20
75,imposto-de-renda
76,receita
77,botafogo
78,libertadores
79,leo-prates-2
80,projeto
81,fiscalizacao
82,biometria
83,producao
84,planalto
85,acidente
86,bairro-da-paz
87,impostos
88,sonegacao
89,nubank
90,telefonia
91,conjunto-penal
92,megaoperacao
93,bola-de-ouro
94,vinicius-jr
95,feira-de-santana
96,guarulhos
97,libano-2
98,derrota
99,policiamento
100,petroleo
101,concurso
102,embasa
103,fertilizantes
104,bolsas
105,senai
106,segundo-turno
107,salario-2
108,servidores
109,crimes
110,homicidio
111,correios
112,flavio-matos
113,camacari
114,covid-19
115,fiocruz
116,tse
117,29-de-marco
118,terminal
119,deputado-federal
120,fundao
121,drogas
122,jeronimo-2
123,vlt
124,caetano
125,ex-boxeador
126,maguila
127,aeroporto
128,rui-costa
129,sao-paulo
130,vinicius-junior
131,governador
132,preso
133,avioes
134,mcdonalds-2
135,dolar
136,bolsa-familia-2
137,bruno-reis
138,forca-aerea
139,piloto
140,barradao
141,socios
142,tiroteio
143,abastecimento
144,agua-2
145,covid
146,seguranca
147,neymar
148,stf
149,dinheiro
150,indigenas
151,mariana
152,itabuna
153,medico
154,ibirapitanga
155,pmba
156,exportacoes
157,policia-civil
158,forcas-policiais
159,x
160,vilas-do-atlantico
161,superlua
162,detento
163,presidio-2
164,mp
165,israel
166,policia-federal-2
167,greve
168,educacao
169,lauro-de-freitas
170,vendas
171,horario-de-verao
172,hiv
173,laboratorio
174,govverno
175,eliminatorias
176,eleicao
177,gaza
178,previsao
179,br-324
180,mpba
181,eleitores
182,banco-central
183,prisoes
184,sistema
185,anvisa
186,tv
187,upa
188,flagrante
189,cidade
190,trafico
191,feriado
192,viabahia
193,florida
194,furacao-2
195,urgente
196,verao
197,rms
198,mega-sena-2
199,sorteio
200,prefeitos
201,cnj
